run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20260511-19:20:16-531420,config,,,cmdenv-express-mode,false,,
General-0-20260511-19:20:16-531420,config,,,cmdenv-log-prefix,[%l] %m: ,,
General-0-20260511-19:20:16-531420,config,,,**.temperature.result-recording-modes,"+vector,+mean",,
General-0-20260511-19:20:16-531420,config,,,**.packetDelivery.result-recording-modes,+count,,
General-0-20260511-19:20:16-531420,vector,ColdChainNetwork.sensor[2].LoRaNic.queue,queueLength:vector,,,"31.182739839423 62.365479678846 93.548219518269 124.730959357692 155.913699197115 187.096439036538 218.279178875961 249.461918715384 280.644658554807 311.82739839423 343.010138233653 374.192878073076 405.375617912499 436.558357751922 467.741097591345 498.923837430768 530.106577270191 561.289317109614 592.472056949037 623.65479678846 654.837536627883 686.020276467306 717.203016306729 748.385756146152 779.568495985575 810.751235824998 841.933975664421 873.116715503844 904.299455343267 935.48219518269 966.664935022113 997.847674861536 1029.030414700959 1060.213154540382 1091.395894379805 1122.578634219228 1153.761374058651 1184.944113898074 1216.126853737497 1247.30959357692 1278.492333416343 1309.675073255766 1340.857813095189 1372.040552934612 1403.223292774035 1434.406032613458 1465.588772452881 1496.771512292304 1527.954252131727 1559.13699197115 1590.319731810573 1621.502471649996 1652.685211489419 1683.867951328842 1715.050691168265 1746.233431007688 1777.416170847111 1808.598910686534 1839.781650525957 1870.96439036538 1902.147130204803 1933.329870044226 1964.512609883649 1995.695349723072 2026.878089562495 2058.060829401918 2089.243569241341 2120.426309080764 2151.609048920187 2182.79178875961 2213.974528599033 2245.157268438456 2276.340008277879 2307.522748117302 2338.705487956725 2369.888227796148 2401.070967635571 2432.253707474994 2463.436447314417 2494.61918715384 2525.801926993263 2556.984666832686 2588.167406672109 2619.350146511532 2650.532886350955 2681.715626190378 2712.898366029801 2744.081105869224 2775.263845708647 2806.44658554807 2837.629325387493 2868.812065226916 2899.994805066339 2931.177544905762 2962.360284745185 2993.543024584608 3024.725764424031 3055.908504263454 3087.091244102877 3118.2739839423 3149.456723781723 3180.639463621146 3211.822203460569 3243.004943299992 3274.187683139415 3305.370422978838 3336.553162818261 3367.735902657684 3398.918642497107 3430.10138233653 3461.284122175953 3492.466862015376 3523.649601854799 3554.832341694222 3586.015081533645","0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
General-0-20260511-19:20:16-531420,attr,ColdChainNetwork.sensor[2].LoRaNic.queue,queueLength:vector,autoWarmupFilter,false,,
General-0-20260511-19:20:16-531420,attr,ColdChainNetwork.sensor[2].LoRaNic.queue,queueLength:vector,interpolationmode,sample-hold,,
General-0-20260511-19:20:16-531420,attr,ColdChainNetwork.sensor[2].LoRaNic.queue,queueLength:vector,recordingmode,vector,,
General-0-20260511-19:20:16-531420,attr,ColdChainNetwork.sensor[2].LoRaNic.queue,queueLength:vector,source,warmup(atomic(constant0(packetPushEnded) + count(packetPushStarted) - count(packetPulled) - count(packetRemoved) - count(packetDropped))),,
General-0-20260511-19:20:16-531420,attr,ColdChainNetwork.sensor[2].LoRaNic.queue,queueLength:vector,title,queue length,,
General-0-20260511-19:20:16-531420,attr,ColdChainNetwork.sensor[2].LoRaNic.queue,queueLength:vector,unit,pk,,
